DIVE,DATE (dive start date),SAMPLE_ID(s),VENT,DEPTH,COLLECTION,SAMPLE_TYPE,VOLUME (ml),REPLICATE,lOCATION,CELL_ML,cells_ml_REP1,cells_ml_REP2,PROCESSING_NOTES,,TEMP,PH,LOC,LOCATION_DETAIL
J2-1499,7/18/2023,NISKIN-N1-14,Anemone,,Niskin,Prok count,20,,"scint vial, PFA, 4C",n/a,n/a,,Filtered 10 ml not enough,,2,na,above_vent,Hovered ~2-3m above Anemone vent to fire Niskins
J2-1499,7/18/2023,NISKIN-N2-15,Anemone,,Niskin,Prok count,20,,"scint vial, PFA, 4C",n/a,n/a,,Filtered 18 ml - too much,,2,na,above_vent,Hovered ~2-3m above Anemone vent to fire Niskins
J2-1499,7/18/2023,NISKIN-N3-16,Anemone,,Niskin,Prok count,20,,"scint vial, PFA, 4C",1.12E+05,1.12E+05,,FIltered 15 ml,,2,na,above_vent,Hovered ~2-3m above Anemone vent to fire Niskins
J2-1500,7/19/2023,UFO-Byellow-07,Anemone,,UFO,Prok count,20,R1,"scint vial, PFA, 4C",1.29E+05,1.24E+05,1.34E+05,"Filtered 8ml and was too much, did second round with 5ml and it worked",,,na,vent,
J2-1500,7/19/2023,UFO-Byellow-07,Anemone,,UFO,Prok count,20,R2,"scint vial, PFA, 4C",1.69E+05,1.69E+05,,Filtered 5ml,,,na,vent,
CTD002,7/19/2023,Plume-ASHES,Under Plume,1530,CTD,Prok count,20,R1,"scint vial, PFA, 4C",9.50E+04,9.50E+04,,FIltered 15ml,,,na,plume,
CTD002,7/19/2023,Plume-ASHES,Under Plume,1530,CTD,Prok count,20,R2,"scint vial, PFA, 4C",6.77E+04,6.77E+04,,,,,na,plume,
CTD002,7/19/2023,Plume-ASHES,Peak Plume,1512,CTD,Prok count,20,R1,"scint vial, PFA, 4C",9.80E+04,9.80E+04,,Filtered 15ml,,,na,plume,
CTD002,7/19/2023,Plume-ASHES,Peak Plume,1512,CTD,Prok count,20,R2,"scint vial, PFA, 4C",1.21E+05,1.21E+05,,,,,na,plume,
CTD002,7/19/2023,Plume-ASHES,Plume Top,1497,CTD,Prok count,20,R1,"scint vial, PFA, 4C",8.40E+04,8.40E+04,,Filtered 15ml,,,na,plume,
CTD002,7/19/2023,Plume-ASHES,Plume Top,1497,CTD,Prok count,20,R2,"scint vial, PFA, 4C",1.01E+05,1.01E+05,,15ml,,,na,plume,
CTD002,7/19/2023,Plume-ASHES,30m above,1467,CTD,Prok count,20,R1,"scint vial, PFA, 4C",6.09E+04,6.09E+04,,15ml,,,na,plume,
CTD002,7/19/2023,Plume-ASHES,30m above,1467,CTD,Prok count,20,R2,"scint vial, PFA, 4C",1.26E+05,1.16E+05,1.36E+05,Filtered 15ml,technical replicate,,na,plume,
CTD002,7/19/2023,Plume-ASHES,oxycline,375,CTD,Prok count,20,R1,"scint vial, PFA, 4C",1.48E+05,1.49E+05,1.46E+05,,technical replicate,,na,plume,
CTD002,7/19/2023,Plume-ASHES,oxycline,375,CTD,Prok count,20,R2,"scint vial, PFA, 4C",1.14E+05,1.14E+05,,,,,na,plume,
CTD002,7/19/2023,Plume-ASHES,euphotic-subeuphotic,200,CTD,Prok count,20,R1,"scint vial, PFA, 4C",1.44E+05,5.37E+04,2.35E+05,Filtered 15 ml,,,na,plume,
CTD002,7/19/2023,Plume-ASHES,euphotic-subeuphotic,200,CTD,Prok count,20,R2,"scint vial, PFA, 4C",n/a,n/a,,Filtered 15 ml - too much,,,na,plume,
J2-1501,7/20/2023,UFO-Bgreen-09,Marker 113,1519,UFO,Prok count,20,R1,"scint vial, PFA, 4C",1.39E+05,1.27E+05,1.50E+05,Filtered 5ml,Technical replicate,33.6,na,vent,
J2-1501,7/20/2023,UFO-Bred-11,Marker 113,1519,UFO,Prok count,20,R2,"scint vial, PFA, 4C",1.51E+05,,1.51E+05,Filtered 5ml,,,5.8,vent,
J2-1501,7/20/2023,NISKIN-N2-16,Marker 113,1516,Niskin,Prok count,20,,"scint vial, PFA, 4C",8.90E+04,8.90E+04,,,,,,above_vent,
J2-1501,7/20/2023,NISKIN-N3-17,Marker 113,1516,Niskin,Prok count,20,,"scint vial, PFA, 4C",1.14E+05,,1.14E+05,FIltered 15ml,,,,above_vent,
J2-1502,7/21/2023,UFO-Bblue-17,Marker 33,1512,UFO,Prok count,20,,"scint vial, PFA, 4C",1.60E+05,,1.60E+05,Filtered 5ml,,,5.3,vent,
J2-1502,7/21/2023,UFO-Byellow-15,Marker 33,1512,UFO,Prok count,20,,"scint vial, PFA, 4C",1.19E+05,,1.19E+05,Filtered 8mL,,,na,vent,
J2-1502,7/21/2023,NISKIN-N2-22,Marker 33,1510,Niskin,Prok count,20,,"scint vial, PFA, 4C",2.38E+05,2.38E+05,,,,,,above_vent,
J2-1502,7/21/2023,NISKIN-N2-22,Marker 33,1510,Niskin,Prok count,20,,"scint vial, PFA, 4C",3.44E+05,3.44E+05,,,,,,above_vent,
J2-1503,7/22/2023,NISKIN-N3-23,Diva,1517,Niskin,Prok count,20,R1,"scint vial, PFA, 4C",7.21E+04,,7.21E+04,"FIltered 5mls, remade with 10mls; 13.8mL",,23,,above_vent,
J2-1503,7/22/2023,NISKIN-N3-23,Diva,1517,Niskin,Prok count,20,R2,"scint vial, PFA, 4C",8.26E+04,,8.26E+04,"FIltered 5mls, remade with 10mls; 13.5mL",,23,,above_vent,
J2-1503,7/22/2023,J2-1503-SUPR-B7-13,Diva,1518,SUPR,Prok count,20,R1,"scint vial, PFA, 4C",1.22E+05,1.20E+05,1.24E+05,Filtered 5ml,,23,,vent,
J2-1503,7/22/2023,J2-1503-SUPR-B10-18,Diva,1518,SUPR,Prok count,20,R2,"scint vial, PFA, 4C",1.10E+05,1.10E+05,,,,23,,vent,
J2-1503,7/22/2023,J2-1503-SUPR-B3-09,Diva,1518,SUPR,Prok count,20,R3,"scint vial, PFA, 4C",8.40E+04,8.40E+04,,,,23,5.1,vent,
J2-1503,7/22/2023,J2-1503-UFO-Bbrown-07,Diva,1518,UFO,Prok count,20,R1,"scint vial, PFA, 4C",1.80E+05,1.80E+05,,Filtered 5ml,,23,5.1,vent,
J2-1503,7/22/2023,J2-1503-UFO-Byellow-06,Diva,1518,UFO,Prok count,20,R2,"scint vial, PFA, 4C",1.54E+05,1.54E+05,,,,23,5.1,vent,
CTD003,7/21/2023,CTD3-Niskin 10,background,1200,CTD,Prok count,20,R1,"scint vial, PFA, 4C",8.19E+04,8.19E+04,,15ml,,,,background,
CTD003,7/21/2023,CTD3-Niskin 8,background,1200,CTD,Prok count,20,R1,"scint vial, PFA, 4C",6.53E+04,6.53E+04,,15ml,,,,background,
CTD003,7/21/2023,CTD3-Niskin 8,background,1200,CTD,Prok count,20,R2,,n/a,n/a,,15ml,,,,background,
CTD004,7/22/2023,Plume-IntlDist,Under Plume,1508,CTD,Prok counts,20,R1,"scint vial, PFA, 4C",4.05E+04,4.05E+04,,,Scint viall/ slide labeled below plume; Unless these are different?,,,plume,
CTD004,7/22/23,Plume-IntlDist,Peak Plume,1498,CTD,Prok Count,20,R1,"scint vial, PFA, 4C",5.28E+04,5.28E+04,,,,,,plume,
CTD004,7/22/23,Plume-IntlDist,Plume Top,1489,CTD,Prok Count,20,R1,"scint vial, PFA, 4C",n/a,n/a,,,,,,plume,
CTD004,7/22/23,Plume-IntlDist,30m above,1459,CTD,prok count,20,R1,"scint vial, PFA, 4C",8.06E+04,8.06E+04,,,,,,plume,
CTD004,7/22/23,Plume-IntlDist,oxycline,375,CTD,prok count,20,R1,"scint vial, PFA, 4C",4.45E+04,4.45E+04,,,,,,plume,
CTD004,7/22/23,Plume-IntlDist,subeuphotic,200,CTD,Prok count,20,R1,"scint vial, PFA, 4C",1.61E+05,1.61E+05,,,,,,plume,
CTD004,7/22/23,Plume-IntlDist,Under Plume,1508,CTD,Prok counts,20,R2,"scint vial, PFA, 4C",9.22E+04,9.22E+04,,,,,,plume,
CTD004,7/22/23,Plume-IntlDist,Peak Plume,1498,CTD,Prok Count,20,R2,"scint vial, PFA, 4C",8.37E+04,8.37E+04,,,,,,plume,
CTD004,7/22/23,Plume-IntlDist,Plume Top,1489,CTD,Prok Count,20,R2,"scint vial, PFA, 4C",4.31E+04,4.31E+04,,,,,,plume,
CTD004,7/22/23,Plume-IntlDist,30m above,1459,CTD,prok count,20,R2,"scint vial, PFA, 4C",2.05E+04,2.05E+04,,,,,,plume,
CTD004,7/22/23,Plume-IntlDist,oxycline,375,CTD,prok count,20,R2,"scint vial, PFA, 4C",7.95E+04,7.95E+04,,,,,,plume,
CTD004,7/22/23,Plume-IntlDist,subeuphotic,200,CTD,Prok count,20,R2,"scint vial, PFA, 4C",1.00E+05,1.00E+05,,,,,,plume,
J2-1504,7/23/23,J2-1504-UFO-Byellow-02,N3,1519,UFO,Prok count,20,R1,"scint vial, PFA, 4C",4.04E+04,,4.04E+04,"Filtered 5mls, not enough remade with 10mls",,25.5,5,vent,
J2-1504,7/23/23,J2-1504-UFO-Byellow-02,N3,1519,UFO,Prok count,20,R2,"scint vial, PFA, 4C",4.04E+04,4.04E+04,,Filtered 5ml,,25.5,5,vent,
J2-1504,7/23/23,J2-1504-SUPR-B9-09,Marker 33,1512,SUPR,Prok count,20,R1,"scint vial, PFA, 4C",1.95E+05,1.95E+05,,Filtered 5ml,,25.5,na,vent,
J2-1504,7/23/23,J2-1504-SUPR-B6-06,Marker 33,1512,SUPR,Prok count,20,R2,"scint vial, PFA, 4C",1.40E+05,,1.40E+05,Filtered 8mL,,25.5,na,vent,
J2-1504,7/23/23,J2-1504-SUPR-B8-08,Marker 33,1512,SUPR,Prok count,20,R3,"scint vial, PFA, 4C",1.41E+05,,1.41E+05,Filtered 8mL,,25.5,na,vent,
J2-1505,7/24/23,J2-1505-SUPR-B3-16,Bag City,1528,SUPR,Prok count,20,R1,,1.79E+05,1.79E+05,,Filtered 5ml,,,6.1,vent,
J2-1505,7/24/23,J2-1505-SUPR-B6-19,Bag City,1528,SUPR,Prok count,20,R2,,1.34E+05,,1.34E+05,Filtered 8mL,,,6.3,vent,
J2-1505,7/24/23,J2-1505-UFO-Bbrown-09,Vixen,1530,UFO,Prok count,20,,,1.24E+05,1.24E+05,,,,,6.1,vent,
J2-1506,7/25/23,J2-1506-UFO-Bred-10,Gollum,1539,UFO,Prok count,20,R1,,1.41E+05,,1.41E+05,Filtered 8mL,,,5.4,vent,
J2-1506,7/25/23,J2-1506-UFO-Bred-10,Gollum,1539,UFO,Prok count,20,R2,,1.70E+05,,1.70E+05,Filtered 8mL,,,5.4,vent,